^BSESN,S&P BSE SENSEX | Index
^AXJO,S&P/ASX 200 | Index
^IPSA,S&P/CLX IPSA | Index
^NZ50,S&P/NZX 50 INDEX GROSS ( GROSS | Index
^GSPTSE,S&P/TSX Composite index | Index
SAC.VI,Sanochemia Pharmazeutika AG | Austria
SLBS.VI,Schlumberger Aktiengesellschaft | Austria
SBO.VI,Schoeller-Bleckmann Oilfield Equipment Aktien | Austria
SGS.VI,SCOTTY GROUP SE | Austria
SEM.VI,Semperit Aktiengesellschaft Holding | Austria
399001.SZ,Shenzhen Index | Index
SFNC,Simmons First National Corporation | USA
000001.SS,SSE Composite Index | Index
STM.VI,Stadlauer Malzfabrik Aktiengesellschaft | Austria
SCL,Stepan Company | USA
^STI,STI Index | Index
SEOAY,Stora Enso Oyj | USA
STR.VI,Strabag SE | Austria
RUN,Sunrun Inc. | USA
SWUT.VI,SW Umwelttechnik Stoiser & Wolschner AG | Austria
^TA125.TA,TA-125 | Index
TEAK.VI,TEAK HOLZ INT. AG | Austria
TGNA,TEGNA Inc. | USA
TKA.VI,Telekom Austria Aktiengesellschaft | Austria
TSLA,Tesla Inc. | USA
KO,The Coca-Cola Company | USA
^JN0U.JO,Top 40 USD Net TRI Index | Index
^TWII,TSEC weighted index | Index
TSN,Tyson Foods Inc. | USA
UBS.VI,UBM Development AG | Austria
UBSE.VI,UBSE.VI | Austria
UMBF,UMB Financial Corporation | USA
UQA.VI,UNIQA Insurance Group AG | Austria
UIV.VI,Unternehmens Invest AG | Austria
VLY,Valley National Bancorp | USA
VBPS.VI,VBPS.VI | Austria
VER.VI,VERBUND AG | Austria
VZ,Verizon Communications Inc. | USA
VIG.VI,Vienna Insurance Group AG | Austria
V,Visa Inc. | USA
VOE.VI,Voestalpine AG | Austria
VONOY,Vonovia SE | USA
VVPS.VI,Vorarlberger Volksbank registrierte Genossens | Austria
VNO,Vornado Realty Trust | USA
WXF.VI,Warimpex Finanz- und Beteiligungs Aktiengesel | Austria
WPB.VI,Wiener Privatbank SE | Austria
WIE.VI,Wienerberger AG | Austria
WOL.VI,Wolford Aktiengesellschaft | Austria
WPAG.VI,WP AG | Austria
WSFS,WSFS Financial Corporation | USA
WYNN,Wynn Resorts Limited | USA
YELP,Yelp Inc. | USA
YPF,YPF Sociedad Anónima | USA
ZION,Zions Bancorporation National Association | USA
ZAG.VI,Zumtobel Group AG | Austria
